lat,lon,waypoint_id,date,run_index,risk_score,risk_summary,wind_speed_kn,wind_speed_risk,wind_gusts_kn,wind_gusts_risk,wind_direction,weather,rain_mm,rain_risk
35.45,32.1,86,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
35.5,32.05,87,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
35.55,32.0,88,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
35.6,31.95,89,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
35.65,31.9,90,31-03-2026,1.0,44.9,Moderate Risk,13.0,Moderate Risk,25.3,Moderate Risk,SW,Overcast,0.0,Low Risk
35.65,31.9,91,01-04-2026,2.0,86.8,High Risk,25.2,High Risk,33.4,High Risk,E,Moderate Rain Showers,2.9,Moderate Risk
35.65,31.9,92,02-04-2026,3.0,98.9,High Risk,24.9,High Risk,38.1,High Risk,SE,Moderate Rain Showers,19.8,High Risk
35.65,31.9,93,03-04-2026,4.0,55.9,Moderate Risk,18.6,Moderate Risk,25.3,Moderate Risk,SW,Light Drizzle,0.2,Low Risk
35.65,31.9,94,04-04-2026,5.0,46.9,Moderate Risk,14.0,Moderate Risk,21.8,Moderate Risk,W,Light Drizzle,0.2,Low Risk
35.65,31.9,95,05-04-2026,6.0,34.7,Low Risk,9.8,Low Risk,14.8,Low Risk,W,Light Drizzle,0.1,Low Risk
35.65,31.9,96,06-04-2026,7.0,28.4,Low Risk,6.4,Low Risk,12.6,Low Risk,W,Light Drizzle,0.1,Low Risk
35.7,31.85,97,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
35.75,31.8,98,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
35.8,31.75,99,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
35.85,31.7,100,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
35.9,31.65,101,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
35.95,31.6,102,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.0,31.55,103,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.05,31.5,104,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.1,31.45,105,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.15,31.4,106,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.2,31.35,107,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.25,31.3,108,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.3,31.25,109,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.35,31.2,110,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.4,31.15,111,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.45,31.1,112,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.5,31.05,113,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.55,31.0,114,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.6,30.95,115,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.65,30.9,116,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.7,30.85,117,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.75,30.8,118,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.8,30.75,119,N/A,7.0,0.0,N/A,0.0,0,0.0,0,N/A,N/A,0.0,0
36.85,30.7,120,31-03-2026,1.0,35.1,Low Risk,8.6,Low Risk,20.8,Moderate Risk,SE,Overcast,0.0,Low Risk
36.85,30.7,121,01-04-2026,2.0,43.9,Moderate Risk,5.2,Low Risk,15.8,Low Risk,N,Moderate Rain Showers,1.9,Low Risk
36.85,30.7,122,02-04-2026,3.0,80.5,High Risk,13.5,Moderate Risk,30.3,High Risk,SE,Moderate Rain Showers,47.2,High Risk
36.85,30.7,123,03-04-2026,4.0,45.8,Moderate Risk,8.9,Low Risk,20.8,Moderate Risk,SE,Moderate Drizzle,2.9,Moderate Risk
36.85,30.7,124,04-04-2026,5.0,40.0,Low Risk,7.2,Low Risk,17.3,Moderate Risk,E,Moderate Drizzle,2.7,Moderate Risk
36.85,30.7,125,05-04-2026,6.0,32.5,Low Risk,5.1,Low Risk,15.6,Low Risk,NE,Moderate Drizzle,0.5,Low Risk
36.85,30.7,126,06-04-2026,7.0,27.2,Low Risk,6.8,Low Risk,15.0,Low Risk,N,Overcast,0.0,Low Risk
